Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6,2,8,4,9,15,13,7,12,10,3,11,1,5,14
1,2,11,1,6,9,15,13,7,12,10,3,14,4,8,5
7,11,1,6,9,15,13,5,7,12,10,3,14,4,8,2
8,3,14,4,8,2,13,11,1,6,9,15,5,7,12,10
16,11,1,3,14,4,6,9,15,5,7,12,10,8,2,13
20,12,10,8,2,13,3,14,4,6,11,1,9,15,5,7
28,1,9,15,5,7,3,14,4,6,11,12,10,8,2,13
53,15,5,7,3,12,10,14,4,6,11,1,8,2,13,9
185,10,6,4,11,1,2,8,13,15,5,9,7,3,14,12
189,5,9,7,3,14,12,8,10,6,4,11,1,2,13,15
1278,6,4,11,1,13,2,15,5,9,7,3,10,8,14,12
1279,4,11,1,13,2,15,5,9,7,3,12,10,8,14,6
1317,15,5,9,7,3,12,10,8,14,6,4,11,1,13,2
1436,13,2,9,15,5,7,3,12,10,8,14,6,4,11,1
1477,6,4,11,1,13,2,9,15,5,7,3,12,10,8,14
1513,9,5,7,3,12,10,8,14,6,4,11,1,13,2,15
1823,5,7,3,12,10,8,14,6,4,11,1,13,2,15,9
1985,3,12,14,10,8,6,4,11,1,13,2,15,5,9,7
3401,1,13,2,15,5,9,7,3,12,14,10,8,6,4,11
