Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,15,7,8,14,4,12,3,10,6,5,9,1,2,13,11
1,14,9,4,8,10,3,7,12,6,11,2,15,5,13,1
3,4,8,10,3,7,12,6,13,1,11,2,15,5,14,9
4,5,13,1,8,10,3,7,12,14,9,4,6,11,2,15
5,11,2,15,8,10,3,7,12,14,9,5,13,1,4,6
11,6,2,15,8,10,3,7,12,14,9,5,13,1,11,4
35,2,15,9,5,13,1,4,6,11,8,10,3,12,14,7
41,4,6,11,8,10,3,12,14,7,2,15,9,5,13,1
44,13,1,11,4,6,8,10,3,12,14,7,2,15,9,5
48,11,4,6,8,10,3,12,14,7,2,9,5,15,13,1
60,9,5,13,2,1,11,4,6,8,12,14,10,3,7,15
102,4,6,14,12,8,10,3,7,15,9,5,13,2,1,11
395,15,5,9,13,2,1,11,4,6,14,12,8,10,3,7
398,6,14,12,8,10,3,7,15,5,9,13,2,1,11,4
1036,4,8,10,14,12,3,7,5,9,15,2,1,13,11,6
1041,2,1,13,11,6,4,8,10,14,12,3,7,5,9,15
1082,2,13,1,11,6,4,8,10,14,12,3,7,5,9,15
2975,14,12,3,7,5,9,15,13,2,1,11,4,6,8,10
2980,5,9,15,13,2,1,11,4,6,8,10,14,12,3,7
