Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11,12,13,15,1,5,9,7,3,6,8,2,14,10,4
1,5,1,9,11,4,8,6,12,3,7,13,15,2,14,10
3,14,10,4,6,8,13,3,5,7,9,15,2,12,11,1
8,9,15,2,12,11,1,3,5,7,14,10,4,6,8,13
9,11,1,4,14,10,6,8,13,3,5,7,9,15,2,12
12,10,6,8,13,9,15,2,12,3,5,7,11,1,4,14
13,10,6,8,13,11,1,4,14,3,5,7,9,15,2,12
18,6,8,13,11,1,4,12,14,3,5,7,9,15,2,10
27,13,8,10,11,1,4,6,12,14,3,5,7,9,15,2
35,8,10,11,1,4,6,12,14,3,5,7,9,15,13,2
37,15,13,2,1,8,10,11,4,6,12,14,3,5,7,9
104,4,6,8,10,12,14,3,5,7,9,15,13,2,11,1
114,6,8,10,12,14,3,5,7,9,15,13,2,1,11,4
194,6,10,8,12,14,3,7,5,9,15,13,2,1,11,4
204,3,7,5,9,15,13,2,1,11,4,6,10,8,12,14
220,5,9,15,13,2,1,11,4,6,10,8,12,14,3,7
381,13,1,11,4,6,10,8,12,14,3,7,5,9,15,2
423,5,9,15,2,13,1,11,4,6,10,8,12,14,3,7
811,6,14,12,3,7,5,9,15,10,8,2,13,1,11,4
1074,15,10,8,2,13,1,11,4,6,14,12,3,7,5,9
1906,3,7,5,15,9,2,13,1,11,4,6,8,10,14,12
3404,15,2,13,1,11,4,6,8,10,14,12,3,7,5,9
