Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,9,12,1,10,13,11,2,14,3,6,8,4,7,5,15
1,12,1,13,15,9,11,2,14,3,6,8,4,7,5,10
2,8,4,7,5,10,11,2,14,12,1,13,15,9,3,6
4,4,6,7,5,10,11,2,14,12,1,13,15,9,3,8
10,9,3,14,12,1,13,15,8,4,6,7,5,10,11,2
12,12,1,13,15,10,11,2,8,4,6,7,5,9,3,14
14,14,1,13,15,10,11,2,8,4,6,7,5,9,3,12
18,3,14,12,10,11,2,8,4,6,7,5,9,1,13,15
22,12,10,11,2,8,4,6,7,5,9,1,13,15,3,14
25,9,1,13,15,11,2,8,4,6,3,14,12,10,7,5
30,7,5,13,15,9,1,11,2,8,4,6,3,14,12,10
31,15,9,1,11,2,8,4,6,14,12,10,3,7,5,13
61,4,6,14,12,3,10,7,15,9,5,13,1,11,2,8
71,13,1,11,2,8,10,4,6,14,12,3,7,15,9,5
100,8,10,11,4,6,14,12,3,7,15,9,5,13,1,2
105,13,1,11,4,6,14,12,3,7,15,2,8,10,9,5
117,10,5,13,1,11,4,6,14,12,3,7,9,15,2,8
118,13,1,11,4,6,8,10,14,12,3,7,15,2,9,5
161,1,11,4,6,8,10,14,12,3,7,9,15,5,2,13
640,5,15,9,2,13,1,11,4,6,8,10,14,12,3,7
