Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,10,9,14,3,12,4,1,13,11,6,15,5,8,7
26,9,14,3,7,5,11,4,15,8,6,12,1,13,2,10
29,2,10,3,7,5,11,4,15,8,6,9,14,12,1,13
30,10,14,3,7,5,11,4,15,8,6,12,9,1,13,2
34,5,9,1,13,2,11,4,15,8,6,12,10,14,3,7
64,2,8,6,12,10,15,5,9,1,11,4,14,3,7,13
67,8,6,12,10,15,5,9,13,1,11,4,14,3,7,2
70,6,12,10,15,5,9,2,13,1,11,4,14,3,7,8
95,8,12,10,15,5,9,2,13,1,11,6,4,14,3,7
98,14,3,7,15,5,9,8,12,10,2,13,1,11,6,4
100,8,2,13,1,11,6,4,12,10,14,3,7,15,5,9
135,4,14,3,7,15,5,9,12,10,8,2,13,1,11,6
140,7,15,5,9,12,10,8,2,13,1,11,6,4,14,3
141,3,7,15,5,9,12,10,8,2,13,1,11,6,4,14
211,12,3,7,15,5,9,2,13,1,11,4,6,10,8,14
215,6,10,8,14,12,3,7,15,5,9,2,13,1,11,4
4424,1,13,2,15,5,9,7,3,14,12,10,8,6,4,11
5953,8,6,4,11,1,13,2,15,5,9,7,3,12,14,10
5959,1,13,2,15,5,9,7,3,12,14,10,8,6,4,11
5975,9,5,7,3,12,14,10,8,6,4,11,1,13,2,15
