Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14,15,9,5,13,8,7,3,11,2,4,1,10,12,6
5,5,10,7,11,6,8,12,14,15,9,3,4,2,1,13
6,1,4,7,3,11,6,8,13,5,10,12,14,15,9,2
10,8,12,14,4,2,1,13,5,10,15,9,3,7,11,6
11,9,3,7,11,6,1,13,5,10,8,12,14,4,2,15
38,6,10,8,15,9,3,4,2,1,13,5,7,12,14,11
41,13,5,7,12,14,11,4,6,10,8,15,9,3,2,1
45,6,10,8,15,9,3,2,1,13,5,7,12,14,11,4
75,14,6,8,2,11,4,1,13,5,15,9,3,7,10,12
82,4,13,5,15,9,3,7,10,12,14,6,8,2,1,11
83,13,5,15,9,3,7,10,12,14,6,4,8,2,11,1
93,7,10,12,14,6,4,8,2,11,1,13,5,15,9,3
260,13,7,3,10,8,2,5,15,9,12,14,6,4,11,1
346,1,2,13,5,15,9,7,3,12,6,4,14,10,8,11
361,15,9,7,3,12,6,4,14,10,8,11,1,2,13,5
362,9,5,7,3,12,6,4,14,10,8,11,1,2,13,15
365,9,5,7,3,12,6,4,14,10,8,11,1,13,2,15
427,5,7,3,14,10,8,12,6,4,11,1,13,2,15,9
439,3,12,14,10,8,11,6,4,1,13,2,15,9,5,7
442,5,7,3,12,14,10,8,11,6,4,1,13,2,15,9
950,8,2,15,9,5,7,3,12,14,6,4,11,1,13,10
963,14,6,4,11,1,13,10,8,2,15,9,5,7,3,12
1022,1,13,2,15,9,5,7,3,12,14,6,10,8,4,11
1763,14,12,3,7,5,15,9,8,10,2,13,1,11,4,6
4320,6,8,10,14,12,3,7,5,9,2,15,13,1,11,4
4342,1,11,4,6,8,10,14,12,3,7,5,15,9,2,13
