Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,10,2,12,3,9,15,6,14,11,1,4,13,5,7,8
4,8,2,12,3,9,15,6,14,10,11,1,4,13,5,7
7,11,1,4,13,5,7,8,2,10,12,3,9,15,6,14
15,3,9,15,11,1,4,13,5,7,8,6,14,10,2,12
18,3,9,15,11,1,8,13,5,7,4,6,14,10,2,12
19,3,5,7,8,6,14,10,9,15,11,1,4,13,2,12
28,11,4,1,13,2,3,6,10,9,15,5,7,8,14,12
32,15,5,7,8,14,12,6,11,4,1,13,2,3,10,9
54,11,1,13,15,9,3,10,2,5,7,8,14,12,6,4
176,3,8,10,14,12,6,4,11,1,13,15,7,9,2,5
179,9,2,5,3,8,10,14,12,6,4,11,1,13,15,7
181,10,14,12,6,4,11,1,13,2,5,15,7,9,3,8
187,8,14,12,6,4,11,1,13,2,5,15,7,9,3,10
188,12,6,4,11,1,13,2,5,15,7,9,3,10,8,14
192,10,14,12,8,6,4,11,1,13,2,5,15,7,9,3
199,14,12,3,8,6,4,11,1,13,2,5,15,7,9,10
204,8,6,4,11,1,13,2,5,15,7,9,10,14,12,3
207,11,1,13,2,5,15,14,12,3,7,9,10,8,6,4
235,8,6,4,11,1,13,2,15,14,12,3,9,5,7,10
239,10,8,6,4,11,1,13,2,15,14,12,3,9,5,7
267,6,4,11,1,13,2,15,5,7,14,12,3,9,10,8
297,2,14,12,3,9,15,5,7,10,8,6,4,11,1,13
422,10,8,6,4,11,1,13,2,9,5,15,7,14,12,3
424,8,6,4,11,1,13,2,9,5,15,7,3,14,12,10
438,6,4,11,1,13,2,9,5,15,7,3,14,12,10,8
5343,1,11,4,6,8,2,10,14,12,3,7,5,9,15,13
5346,9,15,13,1,11,4,6,8,2,10,14,12,3,7,5
5430,5,9,15,13,2,1,11,4,6,8,10,14,12,3,7
5623,8,10,14,12,3,7,5,15,9,2,13,1,11,4,6
5640,5,15,9,2,13,1,11,4,6,8,10,14,12,3,7
5857,5,9,15,2,13,1,11,4,6,8,10,14,12,3,7
