Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3,4,15,5,8,2,9,7,12,13,11,1,10,14,6
1,7,13,11,1,10,8,6,9,12,14,3,4,15,5,2
2,9,1,13,11,14,4,2,12,3,6,8,5,7,15,10
4,9,1,13,11,14,4,8,12,3,6,2,5,7,15,10
6,4,8,2,5,7,15,10,12,3,6,9,1,13,11,14
7,13,11,14,4,8,12,3,6,2,15,10,5,7,9,1
11,1,11,14,4,8,12,3,6,2,13,15,10,5,7,9
13,7,9,14,1,11,4,8,12,3,6,2,13,15,10,5
16,9,5,14,1,11,4,8,12,3,6,2,13,15,10,7
18,14,1,11,4,8,12,3,6,10,7,2,13,15,9,5
21,12,3,6,10,2,13,15,9,5,7,14,1,11,4,8
49,13,1,11,4,8,12,7,5,3,6,10,14,15,9,2
62,7,3,9,10,6,14,5,15,2,13,1,11,4,8,12
64,7,3,9,10,6,14,12,15,2,13,1,11,4,8,5
70,5,7,10,6,14,12,3,9,15,2,13,1,11,4,8
167,6,14,12,3,5,15,2,13,1,11,4,8,9,7,10
168,9,7,10,3,5,15,2,13,1,11,4,6,14,12,8
172,12,8,10,3,5,15,9,7,2,13,1,11,4,6,14
535,9,7,3,14,12,10,5,15,13,1,11,4,6,8,2
536,14,12,10,5,15,13,1,11,4,6,8,2,9,7,3
552,6,8,2,9,7,3,14,12,10,5,15,13,1,11,4
624,13,1,11,4,6,14,12,10,8,2,9,7,3,5,15
638,14,12,10,8,9,7,3,5,15,2,13,1,11,4,6
904,11,4,6,8,12,14,10,3,7,5,15,9,13,2,1
1185,12,3,7,9,5,15,2,13,1,11,4,6,8,10,14
1190,2,13,1,11,4,6,8,10,14,12,3,7,9,5,15
1240,9,15,2,13,1,11,4,6,8,10,14,12,3,7,5
