Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4,1,12,7,2,8,6,10,3,14,13,5,15,9,11
3,4,2,10,5,3,9,8,7,13,11,1,15,12,14,6
16,11,1,15,12,14,6,4,2,10,5,3,9,8,7,13
21,15,12,14,6,4,2,10,5,7,13,3,9,8,11,1
27,7,13,11,1,15,12,3,9,8,14,6,4,2,10,5
31,13,11,1,15,12,3,5,9,8,14,6,4,2,10,7
33,1,15,12,3,5,9,8,14,6,4,10,7,2,13,11
39,15,12,3,5,9,8,14,6,11,4,10,7,2,13,1
43,3,10,7,5,9,2,13,1,8,14,6,11,4,15,12
48,12,10,3,7,5,9,2,13,1,8,14,6,11,4,15
53,12,10,3,7,5,9,2,13,1,8,14,15,11,4,6
54,7,5,9,2,13,1,11,4,15,8,14,6,12,10,3
61,14,6,12,10,3,7,5,9,2,13,1,11,4,15,8
82,7,5,9,2,13,1,11,4,6,12,15,8,14,10,3
84,1,11,4,6,12,15,8,14,10,3,7,5,9,2,13
89,13,1,11,4,6,8,14,10,3,12,15,7,5,9,2
113,2,13,1,11,4,6,8,14,10,3,12,15,5,7,9
116,5,7,9,2,13,1,11,4,6,8,14,10,3,12,15
123,6,8,14,10,3,12,15,5,7,9,2,13,1,11,4
530,11,4,6,8,13,7,3,12,14,10,9,5,15,2,1
562,4,6,8,13,7,3,12,14,10,9,5,15,2,1,11
586,8,7,3,12,14,10,9,5,15,13,2,1,11,4,6
1814,8,14,10,12,3,7,5,9,2,15,13,1,11,4,6
1972,14,12,3,7,9,5,15,13,2,8,1,11,4,6,10
1974,5,15,13,2,1,11,4,6,10,8,14,12,3,7,9
