Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11,14,12,5,3,2,13,1,8,6,7,10,15,9,4
16,2,13,1,7,9,15,10,4,8,6,11,14,12,5,3
18,12,5,3,7,9,15,10,4,8,6,2,13,1,11,14
51,1,11,14,12,5,3,7,9,15,10,4,8,6,2,13
54,4,6,2,13,5,1,11,14,12,3,7,9,15,10,8
62,9,15,2,13,5,1,11,14,12,10,8,4,6,3,7
66,3,7,9,15,2,13,5,1,11,14,12,10,8,4,6
69,12,10,8,4,6,13,5,3,7,9,15,2,1,11,14
72,15,2,14,12,10,8,1,11,4,6,13,5,3,7,9
73,3,7,9,15,2,14,12,10,8,1,11,4,6,13,5
77,11,4,6,13,5,14,12,10,8,3,7,9,15,2,1
97,5,12,14,10,8,2,1,11,4,6,13,3,7,9,15
103,3,7,9,15,5,12,14,10,8,2,1,11,4,6,13
105,6,13,9,15,3,7,5,12,14,10,8,2,1,11,4
133,14,10,8,2,1,11,4,6,13,9,15,3,7,5,12
169,14,4,6,8,13,10,12,3,7,5,9,15,2,1,11
178,1,11,6,14,4,8,13,10,12,3,7,5,9,15,2
200,5,9,15,2,4,8,13,1,11,6,14,10,12,3,7
217,2,13,1,11,4,8,6,14,10,12,3,7,5,9,15
313,6,14,12,3,7,5,9,15,2,10,8,13,1,11,4
382,2,13,1,11,4,6,14,12,3,7,5,9,15,10,8
386,11,4,6,14,12,3,7,5,9,15,10,8,2,13,1
387,10,8,2,13,1,11,4,6,14,12,3,7,5,9,15
421,15,10,8,2,13,1,11,4,6,14,12,3,7,5,9
