Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,13,15,9,4,11,8,1,7,3,10,5,14,12,2,6
8,8,3,10,5,7,14,2,6,12,13,15,9,4,11,1
10,5,7,14,4,11,1,2,6,12,13,15,9,8,3,10
13,7,14,4,11,1,2,6,10,12,13,15,9,8,3,5
16,14,4,11,1,2,6,10,12,13,15,9,5,8,3,7
18,4,11,1,2,6,10,12,13,15,9,5,8,7,3,14
25,12,3,14,4,11,1,2,13,15,9,5,8,7,6,10
26,6,10,14,4,11,1,2,13,15,9,5,8,12,3,7
40,1,13,2,15,9,5,8,12,6,10,3,7,14,4,11
96,7,12,8,6,4,11,1,13,2,15,9,5,10,14,3
101,10,14,3,7,12,8,6,4,11,1,13,2,15,9,5
106,15,9,5,7,12,10,14,3,8,6,4,11,1,13,2
118,7,12,10,14,3,8,6,4,11,1,13,2,15,9,5
215,14,12,3,8,6,4,11,1,13,2,15,9,5,7,10
224,9,5,7,10,14,12,3,8,6,4,11,1,13,2,15
259,5,7,10,14,12,3,8,6,4,11,1,13,2,15,9
2321,3,8,10,12,14,6,4,11,1,13,2,15,9,5,7
2322,5,7,3,8,10,12,14,6,4,11,1,13,2,15,9
2384,4,11,1,13,2,8,10,15,9,5,7,3,12,14,6
