Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11,13,9,10,2,5,15,1,12,3,7,6,8,4,14
1,8,11,13,9,10,2,5,15,1,12,3,7,6,4,14
7,14,11,13,9,10,2,5,15,1,8,12,3,7,6,4
9,6,4,13,9,10,14,11,2,5,15,1,8,12,3,7
10,3,7,13,9,10,14,11,2,5,15,1,6,4,8,12
13,7,13,9,10,12,14,11,2,5,15,1,6,4,8,3
17,11,1,6,4,8,3,7,2,5,15,13,9,10,12,14
19,8,9,10,12,14,3,7,2,5,15,13,11,1,6,4
42,3,7,2,11,1,6,4,8,9,5,15,13,10,12,14
59,7,2,11,1,6,4,8,9,5,15,13,10,14,12,3
85,8,9,5,15,13,10,14,12,3,7,2,11,1,6,4
100,11,1,8,9,5,15,13,10,14,12,3,7,2,6,4
151,13,1,6,11,4,8,10,14,12,3,7,2,9,5,15
205,1,6,11,4,8,2,10,14,12,3,7,9,5,15,13
212,14,12,3,7,9,5,15,13,1,6,11,4,8,2,10
242,8,2,10,14,12,3,7,9,5,15,13,1,6,11,4
419,5,9,15,10,12,4,11,1,13,2,8,6,14,3,7
535,11,4,1,8,10,6,14,12,3,7,5,9,15,13,2
564,5,9,15,13,2,6,11,4,1,8,10,14,12,3,7
587,2,6,11,4,1,8,10,14,12,3,7,5,9,15,13
615,15,13,2,1,8,6,11,4,10,14,12,3,7,5,9
618,15,13,2,1,8,11,4,6,10,14,12,3,7,5,9
645,13,1,11,4,10,8,6,14,12,3,7,5,9,15,2
844,10,8,2,13,1,11,4,6,14,12,3,7,5,15,9
4217,11,4,6,8,10,14,12,3,7,5,9,15,2,13,1
