Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,10,5,9,7,15,2,11,4,1,12,14,8,6,3,13
10,6,1,9,15,12,14,5,7,10,3,11,4,8,2,13
15,3,11,4,8,2,13,5,7,10,6,1,9,15,12,14
24,4,8,2,13,5,7,3,10,6,1,9,15,12,14,11
29,2,13,5,7,9,15,12,10,6,1,11,4,14,3,8
68,8,2,13,12,14,6,1,11,4,9,15,5,7,10,3
69,13,12,14,6,1,11,4,9,15,5,7,10,3,8,2
79,6,11,4,9,15,5,7,10,3,8,1,2,13,12,14
82,1,11,4,9,15,5,7,12,14,6,10,3,8,2,13
146,14,6,2,13,1,11,4,12,3,9,15,5,7,10,8
163,11,4,6,2,9,15,5,7,12,3,10,14,8,13,1
283,4,11,2,1,13,9,15,5,7,12,3,10,14,8,6
290,11,1,2,13,9,15,5,7,12,3,10,14,8,6,4
436,5,7,3,12,10,8,14,6,4,11,1,13,2,9,15
3959,12,14,10,8,6,4,11,1,13,2,15,9,5,7,3
