Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6,12,11,4,8,13,9,10,15,7,14,3,2,5,1
1,8,6,14,3,9,5,4,15,11,13,2,10,12,7,1
2,2,10,12,4,6,1,9,5,13,14,3,7,8,15,11
5,3,7,8,9,5,15,11,2,10,12,4,6,1,13,14
9,1,13,14,9,5,15,11,2,10,12,3,7,8,4,6
10,13,6,14,9,5,15,11,2,10,12,3,7,8,4,1
14,14,9,5,15,11,2,10,12,3,7,8,4,1,13,6
29,15,1,13,6,11,2,10,12,3,7,8,4,14,9,5
35,13,6,11,2,8,4,14,10,12,3,7,9,5,15,1
36,15,1,13,6,11,2,8,4,14,10,12,3,7,9,5
100,14,12,3,7,9,15,5,8,1,13,11,2,4,6,10
108,11,4,6,10,14,12,3,7,9,15,2,5,8,1,13
116,12,3,7,9,15,2,5,10,8,1,13,11,4,6,14
132,4,6,14,12,3,7,5,10,8,9,15,2,1,13,11
161,4,6,14,12,3,7,5,10,8,13,9,15,2,1,11
749,2,9,7,5,3,12,14,10,8,6,4,11,1,13,15
754,15,9,7,5,3,12,14,10,8,6,4,11,1,13,2
1241,12,14,10,8,6,4,11,1,13,2,9,5,15,7,3
1250,10,8,6,4,11,1,13,2,9,5,15,7,3,12,14
2148,13,2,9,15,5,7,3,12,14,10,8,6,4,11,1
