Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,15,14,12,7,5,3,8,2,4,1,11,6,10,9,13
15,14,10,4,6,12,7,5,3,8,9,13,2,15,1,11
20,5,9,13,2,15,1,11,3,8,14,10,4,6,12,7
40,1,11,3,8,14,10,4,6,12,7,5,9,13,2,15
49,12,7,5,15,9,13,2,1,11,3,8,14,10,4,6
51,9,13,2,1,11,14,10,4,6,3,8,12,7,5,15
53,4,6,3,8,12,7,5,15,9,13,2,1,11,14,10
60,11,14,10,4,6,3,8,12,7,5,15,9,13,2,1
123,2,1,11,10,4,6,3,14,8,12,7,5,15,9,13
135,15,9,13,10,2,1,11,4,6,3,14,8,12,7,5
137,12,7,5,10,2,15,9,13,1,11,4,6,3,14,8
143,14,8,12,7,5,10,2,15,9,13,1,11,4,6,3
144,4,6,3,7,5,14,8,12,10,2,15,9,13,1,11
148,8,12,7,3,5,10,2,15,9,13,1,11,4,6,14
150,4,6,14,3,8,12,7,5,10,2,15,9,13,1,11
165,5,13,1,11,4,6,14,3,10,2,15,9,8,12,7
179,11,4,6,14,3,10,2,8,12,7,15,9,5,13,1
181,5,13,2,15,9,1,11,4,6,14,3,10,8,12,7
187,9,5,13,1,11,4,6,14,3,10,12,7,8,2,15
191,4,6,14,3,10,12,7,8,2,15,9,5,13,1,11
293,10,7,8,2,15,9,5,13,1,11,4,6,12,14,3
306,8,2,15,9,5,13,1,11,4,6,14,3,12,10,7
309,10,8,2,15,9,5,13,1,11,4,6,14,7,3,12
316,3,12,10,8,2,15,9,5,13,1,11,4,6,14,7
331,12,10,8,2,15,9,7,5,13,1,11,4,6,14,3
386,9,7,5,13,1,11,4,6,14,3,12,10,8,2,15
