Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,10,11,13,9,15,1,8,3,5,7,14,6,4,12
1,11,12,2,9,10,13,15,1,8,3,5,7,14,6,4
5,10,11,13,9,15,1,8,12,3,5,7,14,6,4,2
7,11,13,9,15,1,2,8,12,3,5,7,14,6,4,10
51,10,14,6,11,4,15,2,1,13,9,8,12,3,5,7
55,2,1,13,9,8,12,3,5,7,10,14,6,11,4,15
59,15,2,1,13,8,12,3,5,7,9,10,14,6,11,4
96,7,10,14,6,1,11,4,15,13,2,8,12,3,5,9
97,4,15,13,2,8,12,3,5,9,7,10,14,6,1,11
136,11,15,13,2,8,12,3,5,9,7,10,14,6,4,1
139,1,15,13,2,8,12,3,5,9,7,10,14,6,4,11
358,2,14,12,3,10,8,6,4,11,1,13,9,5,7,15
449,7,9,15,8,10,14,12,3,6,4,11,1,13,2,5
452,1,13,2,5,10,14,12,3,7,9,15,8,6,4,11
519,1,13,2,5,7,9,15,10,14,12,3,8,6,4,11
659,8,3,12,14,6,4,11,1,13,2,5,7,9,15,10
663,7,9,15,10,8,3,12,14,6,4,11,1,13,2,5
687,2,7,5,9,15,10,8,3,12,14,6,4,11,1,13
794,9,15,3,12,14,10,8,6,4,11,1,13,2,7,5
918,7,10,8,3,12,14,6,4,11,1,13,2,9,15,5
929,6,4,11,1,13,2,9,15,5,7,10,8,3,12,14
1144,11,1,13,2,9,15,5,7,3,12,14,6,8,10,4
1626,6,4,11,1,13,2,9,15,5,7,14,12,3,10,8
1772,10,6,4,11,1,13,2,9,15,5,7,3,14,12,8
1774,15,5,7,3,14,12,8,10,6,4,11,1,13,2,9
1778,9,5,7,3,14,12,8,10,6,4,11,1,13,2,15
1792,7,3,14,12,8,10,6,4,11,1,13,2,15,9,5
1793,5,7,3,10,14,12,8,6,4,11,1,13,2,15,9
