Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,15,13,7,6,4,10,12,14,1,11,8,3,5,9
17,2,7,8,4,6,14,3,10,9,5,12,15,1,11,13
35,5,15,1,13,2,11,7,12,8,4,6,14,3,10,9
37,9,15,1,13,2,11,5,7,12,8,4,6,14,3,10
41,4,6,14,3,10,9,7,12,8,5,15,1,13,2,11
57,1,13,2,11,8,4,6,14,10,5,7,3,12,9,15
61,9,15,2,11,1,13,8,4,6,14,10,5,7,3,12
63,13,8,4,6,10,5,7,3,12,14,9,15,2,11,1
111,4,6,10,5,7,3,12,14,9,15,2,13,8,11,1
113,2,13,8,11,1,4,6,10,5,7,3,12,14,9,15
177,11,4,6,10,5,7,3,12,14,9,15,2,13,8,1
188,13,1,11,4,8,6,10,5,7,3,12,14,9,15,2
190,3,12,14,9,15,2,13,1,11,4,8,6,10,5,7
252,12,14,10,5,9,15,2,13,1,11,4,8,6,7,3
295,13,1,11,4,8,6,7,3,12,14,10,5,9,15,2
534,7,10,8,5,15,9,13,2,1,11,4,6,14,12,3
550,9,10,8,13,2,1,11,4,6,14,12,3,7,5,15
630,6,10,8,14,12,3,7,9,5,15,2,13,1,11,4
3436,1,13,2,15,9,5,7,3,10,14,12,8,6,4,11
