Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5,13,11,8,6,4,1,12,3,14,15,10,2,9,7
10,13,8,4,11,6,1,5,9,2,12,3,7,15,10,14
13,12,3,7,15,10,14,5,9,2,13,8,4,11,6,1
16,10,14,5,9,13,4,11,6,1,2,8,12,3,7,15
19,11,6,1,2,8,12,3,7,15,10,14,5,9,13,4
28,12,3,7,15,10,4,11,6,14,5,9,13,1,2,8
32,13,1,2,8,10,4,11,6,14,5,9,12,3,7,15
34,5,9,12,3,7,15,13,1,2,8,10,4,11,6,14
65,2,8,10,5,9,13,1,4,11,6,14,12,3,7,15
74,12,3,7,9,15,5,13,1,2,8,10,4,11,6,14
103,7,9,15,5,13,1,2,8,4,11,6,10,14,12,3
120,7,9,15,5,13,1,2,4,11,6,8,10,14,12,3
141,14,12,3,7,9,15,5,13,1,2,4,11,6,8,10
193,3,7,9,15,5,13,1,2,11,6,4,8,10,14,12
326,9,15,13,1,2,4,11,6,8,10,14,12,3,7,5
415,14,12,3,7,5,9,2,15,13,1,11,6,4,8,10
1748,5,15,13,1,11,4,6,14,12,3,7,10,8,2,9
1750,14,12,3,7,10,8,2,9,5,15,13,1,11,4,6
