Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,9,1,12,3,7,13,5,15,8,10,14,6,11,4
2,6,11,1,4,14,8,13,12,3,9,7,5,15,2,10
3,9,7,5,15,2,10,6,11,1,4,14,8,13,12,3
5,13,12,3,9,7,5,15,2,10,6,11,1,4,14,8
16,3,14,8,9,7,5,15,2,10,6,11,1,4,13,12
21,11,1,4,13,12,3,14,8,9,7,5,15,2,10,6
24,4,13,12,3,14,10,6,8,9,7,5,15,2,11,1
28,1,13,12,3,14,4,10,6,8,9,7,5,15,2,11
29,7,5,15,2,11,1,6,4,13,12,3,14,10,8,9
46,5,15,2,11,1,6,4,13,12,3,14,10,8,9,7
51,7,5,15,2,13,12,3,14,10,11,1,6,4,8,9
55,4,8,9,7,5,15,2,13,12,3,14,10,11,1,6
62,7,5,15,2,13,11,1,6,12,3,14,10,4,8,9
70,12,3,14,10,4,8,9,7,5,15,2,13,11,1,6
71,13,11,1,6,4,8,9,12,3,14,10,7,5,15,2
91,13,11,1,6,4,12,3,14,10,8,9,7,5,15,2
142,9,7,5,15,13,1,11,8,12,3,14,10,6,4,2
210,2,13,1,11,6,4,8,10,9,7,5,15,14,12,3
215,11,6,14,12,3,4,8,10,9,7,5,15,2,13,1
295,2,13,1,11,4,6,14,12,3,8,10,9,7,5,15
1262,2,8,6,4,11,1,13,10,14,12,3,7,5,9,15
2272,6,8,10,12,14,3,7,15,5,9,2,13,1,11,4
2958,13,1,11,4,6,10,8,14,12,3,7,9,5,15,2
3228,3,7,5,15,9,2,13,1,11,4,6,10,8,14,12
3262,6,14,12,3,7,5,15,9,10,8,2,13,1,11,4
3918,14,12,3,7,5,15,9,2,13,1,11,4,6,8,10
3923,13,1,11,4,6,8,10,14,12,3,7,5,15,9,2
3927,4,6,8,10,14,12,3,7,5,15,9,2,13,1,11
