Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,13,5,14,6,11,12,8,10,3,1,15,7,9,4,2
5,11,10,12,7,14,5,4,1,8,6,3,9,15,2,13
7,10,12,7,14,5,4,1,8,6,3,9,15,2,13,11
9,2,13,11,14,10,12,7,5,4,1,8,6,3,9,15
14,7,5,4,1,10,8,6,3,9,15,2,13,11,14,12
16,2,13,11,14,12,8,6,3,7,5,4,1,10,9,15
19,14,12,8,6,3,7,5,4,1,10,9,15,2,13,11
23,2,13,11,6,14,12,8,3,7,5,4,1,10,9,15
25,11,6,14,12,8,3,7,5,9,15,4,1,10,2,13
30,1,10,2,13,11,6,14,12,8,3,7,5,9,15,4
34,9,15,4,1,10,2,13,11,6,14,12,8,3,7,5
36,14,12,3,7,5,9,15,4,8,1,10,2,13,11,6
42,8,1,10,2,13,11,6,4,14,12,3,7,5,9,15
43,15,1,10,8,2,13,11,6,4,14,12,3,7,5,9
56,5,9,10,8,2,13,15,1,11,6,4,14,12,3,7
661,6,12,3,14,10,8,2,9,7,5,15,13,1,11,4
669,12,3,14,10,8,2,9,7,5,15,13,1,11,4,6
712,4,6,14,12,3,10,8,2,9,7,5,15,13,1,11
831,13,1,11,4,8,6,10,14,12,3,7,5,15,9,2
1282,11,4,6,14,12,10,8,3,7,5,15,9,2,13,1
1291,4,6,14,12,10,8,3,7,5,15,9,2,13,1,11
1295,5,15,9,2,13,1,11,4,6,14,12,10,8,3,7
1420,5,9,15,2,13,1,11,4,6,14,12,10,8,3,7
2401,12,3,7,5,9,15,13,2,1,11,4,6,8,10,14
6804,11,4,6,8,10,14,12,3,7,5,15,9,2,13,1
6806,5,15,9,2,13,1,11,4,6,8,10,14,12,3,7
