Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,8,6,11,13,2,4,15,1,9,7,3,5,10,14,12
3,13,2,4,15,1,9,7,3,5,10,14,12,8,6,11
7,13,2,4,1,9,7,15,3,5,10,14,12,8,6,11
8,4,1,15,9,7,3,5,10,14,12,8,6,11,13,2
19,12,10,14,8,6,11,4,1,15,13,2,5,9,7,3
29,3,12,10,14,8,6,11,4,1,15,13,2,5,9,7
38,1,15,13,2,5,9,7,3,12,10,14,8,6,11,4
79,11,1,13,2,4,8,5,15,9,7,3,12,10,14,6
112,10,14,6,11,1,4,8,13,2,5,15,9,7,3,12
127,13,2,5,15,9,7,3,12,10,14,6,11,1,4,8
160,5,15,9,7,3,12,10,14,6,11,4,8,1,13,2
396,7,3,12,14,6,10,4,8,11,1,13,2,15,5,9
399,13,2,15,5,9,7,3,12,14,6,10,4,8,11,1
431,11,1,13,2,9,15,5,7,3,12,14,6,10,4,8
433,1,13,2,8,9,15,5,7,3,12,14,6,10,4,11
439,1,13,2,9,15,5,7,3,12,14,6,10,8,4,11
463,14,10,8,4,6,11,1,13,2,9,15,5,7,3,12
5220,12,14,10,8,6,4,11,1,13,2,5,15,9,7,3
5221,2,5,15,9,7,3,12,14,10,8,6,4,11,1,13
5234,2,15,5,9,7,3,12,14,10,8,6,4,11,1,13
5249,5,7,3,12,14,10,8,6,4,11,1,13,2,9,15
5252,7,3,12,14,10,8,6,4,11,1,13,2,9,15,5
