Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,8,13,5,1,12,10,14,4,11,9,6,3,7,2,15
1,14,6,4,3,8,13,5,1,10,2,15,7,9,11,12
10,1,10,7,2,15,9,11,12,14,6,4,3,8,13,5
13,13,5,7,2,15,9,1,10,11,12,14,6,4,3,8
14,12,14,6,4,3,8,1,10,11,13,5,7,2,15,9
20,1,13,5,7,2,15,9,10,11,12,14,6,4,3,8
41,6,14,4,8,13,15,9,1,10,5,7,3,12,2,11
48,15,9,6,10,5,7,3,12,14,1,2,11,4,8,13
87,12,3,14,2,11,4,8,1,13,5,15,9,7,10,6
93,3,14,2,11,4,6,8,1,13,5,15,9,7,10,12
98,12,14,3,2,11,4,6,8,1,13,5,15,9,7,10
101,1,13,5,15,9,7,10,12,14,3,2,11,4,6,8
116,9,7,10,12,14,3,11,4,6,8,2,1,13,5,15
268,8,2,13,9,5,3,7,10,12,14,15,1,11,4,6
275,3,7,15,1,11,4,6,10,12,14,8,2,13,9,5
334,14,8,2,13,9,3,7,5,15,1,11,4,6,10,12
416,11,4,6,14,8,2,13,9,10,12,3,7,5,15,1
536,3,7,5,15,2,13,9,1,11,4,8,10,6,14,12
606,6,10,14,12,3,9,5,15,7,8,2,13,1,11,4
1031,7,10,3,12,14,6,4,11,1,8,13,2,15,9,5
1091,8,2,13,15,9,5,7,10,3,12,14,6,4,11,1
1121,11,1,2,13,15,9,5,7,8,10,3,12,14,6,4
1132,1,2,13,15,9,5,7,10,3,12,14,8,6,4,11
1153,7,10,3,12,14,8,6,4,11,1,2,13,15,9,5
1196,9,5,7,10,3,12,14,8,6,4,11,1,13,2,15
1219,5,7,10,3,12,14,8,6,4,11,1,13,2,15,9
