Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,8,9,4,5,2,10,14,12,7,1,11,6,15,13,3
1,9,4,5,14,12,7,11,6,15,13,2,1,8,10,3
2,8,10,3,14,12,9,4,5,7,11,6,15,13,2,1
4,10,3,14,12,9,4,1,5,7,11,6,15,13,2,8
6,3,14,12,9,8,4,1,5,7,11,6,15,13,2,10
9,14,12,3,9,8,4,1,5,7,11,6,15,13,2,10
13,6,14,12,3,15,13,10,9,8,4,1,5,7,2,11
17,13,10,9,8,1,5,7,2,11,4,6,14,12,3,15
25,13,1,5,7,2,10,9,8,11,4,6,14,12,3,15
31,9,8,11,4,6,14,12,10,3,15,13,1,5,7,2
37,9,8,11,4,6,14,12,10,3,15,13,2,1,5,7
48,12,10,15,13,2,1,5,7,3,9,8,11,4,6,14
54,13,2,1,5,7,3,9,8,11,4,6,14,12,10,15
83,1,5,9,7,3,8,11,4,6,14,12,10,15,13,2
97,13,2,1,11,4,6,7,3,8,14,12,10,5,9,15
116,14,12,10,5,9,15,7,3,13,2,1,11,4,6,8
127,2,1,11,4,6,8,7,3,14,12,10,5,9,15,13
202,2,13,1,11,4,6,8,15,5,7,3,14,12,10,9
258,11,4,6,14,12,3,10,8,15,5,7,9,2,13,1
268,6,14,12,3,10,8,15,5,7,9,2,13,1,11,4
294,5,9,2,13,1,11,4,6,14,12,3,7,10,8,15
647,5,15,9,13,2,1,11,4,6,14,12,8,10,3,7
693,15,13,2,1,11,4,6,14,12,8,10,3,7,5,9
1368,11,4,6,14,12,3,7,5,9,15,10,8,2,13,1
3744,7,5,9,15,2,13,1,11,6,4,8,10,14,12,3
3746,6,4,8,10,14,12,3,7,5,9,15,2,13,1,11
3747,5,9,15,2,13,1,11,6,4,8,10,14,12,3,7
5120,13,1,11,4,6,8,10,14,12,3,7,5,15,9,2
5143,4,6,8,10,14,12,3,7,5,15,9,2,13,1,11
5261,9,15,2,13,1,11,4,6,8,10,14,12,3,7,5
