Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,12,15,8,10,3,9,14,6,4,13,2,7,11,1,5
1,6,4,9,7,13,8,1,3,12,15,2,5,10,14,11
3,2,7,11,1,5,9,12,15,8,10,3,14,6,4,13
10,3,14,6,4,13,2,7,11,1,5,9,12,15,8,10
17,3,14,6,4,8,13,2,7,11,1,5,9,12,15,10
20,14,6,4,8,13,2,7,11,1,5,9,12,10,15,3
22,4,8,13,2,15,3,7,11,1,5,9,12,10,14,6
28,7,11,1,5,9,3,12,10,14,6,4,8,13,2,15
29,15,11,1,7,5,9,3,12,10,14,6,4,8,13,2
48,3,10,12,14,6,4,8,13,2,15,11,1,7,5,9
54,5,15,11,1,3,10,12,14,6,4,8,13,2,9,7
58,9,15,3,7,5,10,12,14,6,4,8,13,2,11,1
60,11,1,3,7,5,9,15,10,12,14,6,4,8,13,2
62,3,7,5,10,12,14,6,4,8,13,11,1,2,9,15
64,12,14,6,4,8,13,11,1,2,9,15,3,7,5,10
66,6,4,8,13,11,1,2,9,15,3,7,5,10,12,14
103,1,2,9,15,10,12,14,3,7,5,8,6,11,4,13
179,4,6,8,13,1,2,9,15,10,14,12,3,7,5,11
291,5,15,8,4,6,14,12,3,10,11,1,2,13,9,7
408,14,12,3,7,15,5,10,8,6,4,11,1,2,13,9
417,9,7,15,5,14,12,3,10,8,6,4,11,1,2,13
419,2,13,15,9,7,5,14,12,3,10,8,6,4,11,1
520,10,8,6,4,11,1,13,15,2,9,7,5,3,14,12
532,14,12,10,8,6,4,11,1,13,2,15,7,9,5,3
534,6,4,11,1,13,2,15,7,9,5,3,14,12,10,8
535,8,6,4,11,1,13,2,15,9,5,3,7,14,12,10
