Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,1,13,15,9,3,10,4,11,7,6,8,5,14,12
1,2,1,13,15,9,3,7,10,11,6,4,8,5,14,12
2,14,12,13,15,9,3,7,10,2,1,11,6,4,8,5
4,6,4,8,5,14,12,13,15,9,3,7,10,2,1,11
5,14,12,10,2,1,11,13,15,9,3,7,6,4,8,5
8,12,10,2,1,11,13,15,9,3,5,7,6,4,8,14
28,6,4,8,14,12,10,2,1,11,13,15,9,3,5,7
34,5,7,8,14,12,10,2,1,11,6,4,13,15,9,3
35,7,3,8,14,12,10,2,1,11,6,4,13,15,9,5
181,1,11,4,6,2,13,15,9,14,12,3,5,7,10,8
189,11,4,6,2,13,15,9,14,12,3,5,7,10,8,1
234,10,8,1,2,13,15,9,11,4,6,14,12,3,5,7
240,3,5,7,2,13,15,9,10,8,1,11,4,6,14,12
245,2,13,15,9,10,8,1,11,4,6,14,12,3,5,7
261,9,10,8,1,11,4,6,14,12,3,5,7,2,13,15
266,11,4,6,14,12,3,7,2,13,15,5,9,10,8,1
769,1,11,4,6,8,14,12,3,10,7,15,5,9,2,13
773,4,6,8,14,12,3,10,7,15,5,9,2,13,1,11
