Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3,12,14,2,5,13,4,8,10,7,11,1,9,15,6
1,6,8,9,15,3,12,14,2,5,13,4,10,7,11,1
5,6,8,15,3,12,14,2,5,9,13,4,10,7,11,1
8,12,14,10,7,11,1,2,5,9,13,4,6,8,15,3
29,12,14,10,4,6,8,3,7,11,1,2,5,9,13,15
38,7,4,6,11,1,2,5,9,13,15,12,14,10,8,3
41,15,12,14,10,8,3,7,4,6,11,1,2,5,9,13
43,5,9,13,10,8,3,7,15,12,14,4,6,11,1,2
46,1,2,13,10,8,5,9,3,7,15,12,14,4,6,11
62,10,8,15,12,14,3,7,5,9,4,6,11,1,2,13
65,2,13,15,10,8,12,14,3,7,5,9,4,6,11,1
66,2,13,15,12,14,3,7,5,9,10,8,4,6,11,1
148,13,15,5,10,12,14,3,7,9,2,8,4,6,11,1
418,3,14,8,6,4,11,1,2,13,15,5,9,10,12,7
451,6,4,11,1,2,13,15,5,7,3,9,10,12,14,8
522,5,7,3,9,10,12,14,8,6,4,11,1,13,2,15
602,11,1,13,15,5,7,3,9,2,8,10,12,14,6,4
1117,3,12,14,6,10,8,4,11,1,2,13,15,5,9,7
1795,2,13,9,15,5,7,3,12,14,10,8,4,6,11,1
2360,15,7,3,12,14,10,8,6,4,11,1,13,2,9,5
2377,10,8,6,4,11,1,13,2,9,5,15,7,3,12,14
2538,5,7,3,12,14,10,8,6,4,11,1,13,2,15,9
2539,11,1,13,2,15,9,5,7,3,12,14,10,8,6,4
