Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4,8,9,2,11,10,7,3,1,15,5,12,14,13,6
9,7,5,13,6,3,15,11,4,8,12,14,9,2,1,10
14,13,1,10,6,3,15,11,4,8,12,14,9,2,7,5
17,14,9,10,6,3,15,2,7,5,13,1,11,4,8,12
22,4,8,12,6,14,9,10,3,15,2,7,5,13,1,11
24,4,6,14,8,12,9,10,3,15,2,7,5,13,1,11
42,12,3,7,5,10,6,14,9,13,1,11,4,8,15,2
43,3,7,5,10,6,14,9,2,13,1,11,4,8,15,12
44,11,4,8,15,12,14,3,7,5,10,6,9,2,13,1
46,3,7,5,10,6,9,2,13,1,11,4,8,15,12,14
60,15,12,14,10,6,9,2,13,1,11,4,8,3,7,5
81,15,8,14,10,6,9,2,13,1,11,4,12,3,7,5
86,6,8,3,7,5,9,2,13,1,11,4,15,12,14,10
88,5,9,2,13,15,12,14,10,1,11,4,6,8,3,7
141,5,2,13,15,9,12,14,10,1,11,4,6,8,3,7
143,3,7,5,15,9,2,13,12,14,10,1,11,4,6,8
147,14,10,1,11,4,6,8,12,3,7,5,15,9,2,13
148,10,1,11,4,6,8,12,3,7,5,15,9,13,2,14
157,8,13,2,14,12,3,7,5,15,9,10,1,11,4,6
169,10,1,11,4,6,8,12,14,3,7,5,15,9,13,2
351,2,1,11,4,6,8,3,12,14,10,7,5,15,13,9
356,12,14,10,7,5,15,13,9,2,1,11,4,6,8,3
357,8,3,12,14,10,7,5,15,13,9,2,1,11,4,6
503,7,3,10,9,5,15,13,2,1,11,4,6,14,12,8
504,3,10,8,9,5,15,13,2,1,11,4,6,14,12,7
924,11,1,13,2,7,5,15,9,10,3,12,14,8,6,4
