Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,7,9,8,13,15,12,14,10,11,1,3,2,6,4,5
1,5,7,3,12,10,15,8,11,4,13,6,1,2,9,14
5,1,2,9,14,10,15,5,7,3,12,8,11,4,13,6
7,4,13,6,14,10,1,2,9,15,5,7,3,12,8,11
20,11,13,6,4,14,10,1,2,9,15,5,7,3,12,8
21,6,14,10,8,11,1,2,9,15,5,7,3,12,4,13
24,14,10,8,13,11,1,2,9,15,5,7,3,12,4,6
227,6,4,11,1,13,2,5,9,15,8,14,10,12,3,7
228,8,14,10,12,3,7,5,6,4,11,1,13,2,9,15
265,9,15,10,8,14,12,3,7,5,6,4,11,1,13,2
286,11,1,13,2,12,3,7,5,9,15,10,8,14,6,4
294,11,1,13,2,14,12,3,7,5,9,15,10,8,6,4
297,10,8,6,4,11,1,13,2,14,12,3,7,5,9,15
367,5,9,8,6,4,11,1,13,2,15,10,14,12,3,7
553,6,4,11,1,13,2,9,15,5,7,8,10,3,12,14
557,1,13,2,9,15,5,7,3,12,14,8,10,6,4,11
731,13,2,9,15,5,7,3,12,14,10,8,6,4,11,1
6766,14,12,3,7,5,9,15,2,13,1,11,4,6,8,10
6782,15,2,13,1,11,4,6,8,10,14,12,3,7,5,9
