Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,15,14,12,6,5,2,10,4,11,1,9,13,3,8,7
1,15,3,5,2,10,4,11,9,8,7,14,12,6,1,13
3,1,3,5,2,10,4,11,13,15,9,8,7,14,12,6
11,3,5,2,10,6,4,11,13,15,9,8,7,14,12,1
13,5,2,10,6,4,11,13,15,9,1,8,7,14,12,3
21,2,10,6,4,11,13,15,9,1,8,7,3,14,12,5
28,5,10,6,4,11,13,2,15,9,1,8,7,3,14,12
29,14,12,6,4,11,13,2,15,9,1,8,7,5,10,3
34,4,11,13,2,15,9,1,8,7,5,10,3,14,12,6
39,4,11,13,2,15,9,1,8,10,5,7,3,14,12,6
78,7,3,1,2,8,10,14,12,6,4,11,13,15,9,5
129,3,14,12,6,4,11,1,2,8,10,13,15,9,5,7
176,15,9,5,7,3,14,8,10,12,6,4,11,1,2,13
196,14,6,4,11,1,2,8,10,13,15,9,5,7,3,12
223,15,9,5,7,3,12,8,10,14,6,4,11,1,2,13
244,7,3,12,8,10,14,6,4,11,1,2,13,15,9,5
266,9,5,7,3,12,8,10,14,6,4,11,1,13,2,15
362,15,9,5,7,3,12,14,8,10,6,4,11,1,13,2
370,5,7,3,12,14,8,10,6,4,11,1,13,2,15,9
