Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,13,15,5,7,14,3,1,6,4,12,10,9,8,11,2,514.1920969243666
1,6,8,11,3,7,10,1,13,9,2,15,5,12,14,4,490.5645952539448
2,15,5,7,14,3,9,1,6,4,11,12,8,10,2,13,477.38031220121974
3,14,6,3,7,10,4,8,11,1,13,9,2,15,5,12,460.6019988414913
4,7,14,3,9,2,13,1,6,4,11,12,8,10,15,5,455.45016327754564
6,5,12,3,7,10,4,14,6,8,11,1,13,9,2,15,450.9454756170532
9,1,13,9,2,15,5,12,14,6,3,7,10,8,4,11,417.1618240405058
15,2,1,13,9,15,5,3,10,7,8,12,14,6,4,11,407.8968627700607
21,9,13,15,5,7,12,14,6,3,10,8,4,11,1,2,402.97336468956235
23,7,14,6,4,11,1,9,3,12,10,8,13,2,15,5,394.1674425931429
25,12,14,6,4,11,1,13,2,15,5,9,3,7,10,8,340.4219789416129
28,4,11,1,13,2,15,5,9,3,7,10,8,12,14,6,340.42197894161285
31,3,7,12,14,10,8,6,4,11,1,13,2,15,5,9,331.2496446503774
38,5,3,12,14,10,8,6,4,11,1,13,2,15,7,9,329.2000875543238
40,9,7,12,14,3,10,8,6,4,11,1,13,2,15,5,327.2892273079431
44,9,3,12,14,10,8,6,4,11,1,13,2,15,7,5,324.3992148827202
47,9,7,3,12,14,10,8,6,4,11,1,13,2,15,5,296.79260140862436
50,12,14,10,8,6,4,11,1,13,2,9,15,5,7,3,289.4089339481157
55,1,13,2,9,15,5,7,3,12,14,10,8,6,4,11,289.4089339481156
59,12,14,10,8,6,4,11,1,13,2,15,9,5,7,3,284.38086286247807
62,7,3,12,14,10,8,6,4,11,1,13,2,15,9,5,284.38086286247795
