Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4,11,1,10,8,2,13,9,7,3,14,15,12,5,6,518.7991448262504
1,6,13,9,5,3,14,12,7,10,15,1,2,4,11,8,491.68049198332363
3,12,10,14,4,8,3,9,2,7,15,5,13,1,11,6,488.11058787583556
4,8,13,9,5,3,14,12,7,10,15,1,2,6,4,11,462.2199534908856
5,11,13,9,5,3,14,12,7,10,15,1,2,8,6,4,437.39838160906044
13,5,13,1,2,7,11,4,6,8,3,12,14,10,9,15,434.70094055307527
14,10,14,12,7,15,1,2,8,6,4,11,13,9,5,3,422.9219603217389
15,9,15,5,11,4,6,8,13,1,2,7,3,12,14,10,405.493449770809
17,14,12,3,7,15,1,2,8,6,4,11,13,9,5,10,400.5294129164169
18,9,15,5,13,1,11,4,6,8,3,12,14,10,2,7,381.44233539381815
19,5,13,1,11,4,6,8,2,7,3,12,14,10,9,15,359.29528566330583
28,8,6,4,11,1,13,9,5,10,14,12,3,7,15,2,356.06202146383526
30,9,15,5,13,2,1,11,4,6,8,3,12,14,10,7,354.76373493205836
32,2,1,11,4,6,8,3,12,14,10,7,9,15,5,13,354.7637349320583
42,11,1,10,14,12,3,7,9,5,15,13,2,8,6,4,339.72348784582846
49,15,2,8,6,4,11,1,13,10,14,12,3,7,9,5,335.63144876207144
53,5,15,8,6,4,11,1,13,2,10,14,12,3,7,9,329.3756427815344
89,1,13,2,8,10,14,12,3,7,5,9,15,6,4,11,323.5627236789965
95,9,15,6,4,11,1,13,2,8,10,14,12,3,7,5,323.56272367899646
96,9,15,2,8,6,4,11,1,13,10,14,12,3,7,5,323.21971021592503
103,5,9,15,8,6,4,11,1,13,2,10,14,12,3,7,316.963904235388
128,15,8,6,4,11,1,13,2,10,14,12,3,7,5,9,316.96390423538793
135,6,4,11,1,13,2,10,14,12,3,7,5,15,9,8,315.03410683784193
167,5,15,9,8,6,4,11,1,13,2,10,14,12,3,7,315.0341068378419
