Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11,4,10,9,3,12,14,6,13,15,1,8,7,5,2,500.7088008502261
6,5,3,9,7,12,10,4,6,14,8,1,2,13,11,15,489.0689186762704
7,7,9,5,3,10,2,12,14,4,11,6,1,13,15,8,482.034540854649
8,1,13,15,8,10,7,9,5,3,2,12,14,4,11,6,480.5047066660551
9,10,12,4,14,3,7,5,13,1,9,15,2,8,11,6,463.096383992807
10,1,2,13,15,9,8,10,5,7,3,12,6,14,11,4,422.0133547497047
16,11,6,4,10,12,14,3,7,5,13,1,9,15,2,8,405.5392870054075
19,15,2,8,11,6,4,13,1,10,12,14,3,7,5,9,393.3838964256714
29,15,2,8,10,12,14,3,7,5,13,1,11,6,4,9,381.30808714800247
32,4,11,13,1,10,12,14,3,7,5,9,15,2,8,6,358.50865577438225
42,7,5,9,15,2,6,4,11,13,1,8,10,12,14,3,357.8245002987373
46,2,6,4,11,13,1,8,10,12,14,3,7,5,9,15,357.82450029873723
48,10,14,12,3,7,5,9,15,2,8,6,4,11,13,1,350.38401578331815
53,7,5,9,15,13,2,6,4,11,1,8,10,12,14,3,334.7522338151013
57,10,14,12,3,7,5,9,15,2,8,6,4,11,1,13,323.2197102159251
65,13,10,14,12,3,7,5,9,15,2,8,6,4,11,1,323.21971021592503
79,9,15,8,6,4,11,1,13,2,10,14,12,3,7,5,316.96390423538793
83,5,15,9,8,6,4,11,1,13,2,10,14,12,3,7,315.0341068378419
