Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5,11,4,9,15,13,1,2,3,10,14,8,6,12,7,505.53688366272354
4,15,9,12,14,6,7,3,5,1,13,10,8,11,4,2,494.44565612375914
6,11,12,14,8,4,6,10,7,3,15,5,9,1,13,2,454.11145811807364
7,2,12,14,8,4,6,10,7,3,15,5,9,1,11,13,447.1421953458819
11,9,1,13,2,4,6,11,12,14,8,10,7,3,15,5,445.000307023618
17,1,10,8,11,4,6,14,12,9,7,15,5,3,2,13,437.50178677755105
18,6,11,8,10,7,12,14,3,15,5,9,1,13,2,4,430.67380558612086
19,1,4,6,14,12,9,7,15,5,3,10,8,11,2,13,422.2334573265967
20,11,1,2,13,4,6,14,12,9,7,15,5,3,10,8,421.8608323744771
21,11,1,4,6,14,12,9,7,2,13,15,5,3,10,8,421.20205936148204
23,4,10,7,15,2,1,13,5,9,3,12,14,8,6,11,420.65118277427797
28,8,1,2,13,11,4,6,14,12,9,7,15,5,3,10,409.92316847009465
29,2,13,4,6,14,12,7,9,15,5,3,10,8,11,1,390.8910371027953
36,11,4,6,14,12,7,15,9,5,3,10,8,1,2,13,386.03476940407177
37,12,7,15,9,5,3,10,8,1,2,13,11,4,6,14,386.03476940407165
41,5,3,10,8,1,2,13,11,4,6,14,12,7,9,15,378.9533731984127
48,13,15,5,3,10,8,1,11,4,6,14,12,7,9,2,372.17194817925184
53,6,14,12,7,9,2,13,15,5,3,10,8,1,11,4,372.1719481792518
56,4,6,14,12,3,7,9,2,13,15,5,10,8,1,11,349.77940077392986
61,7,15,5,9,2,13,1,11,4,6,14,12,3,10,8,340.0175546343237
255,11,4,6,14,12,3,7,5,2,13,15,9,10,8,1,339.79451576749915
264,15,9,10,8,1,11,4,6,14,12,3,7,5,2,13,339.7945157674991
270,9,10,8,1,11,4,6,14,12,3,7,5,2,13,15,339.79451576749904
282,2,13,15,1,11,4,6,14,12,3,7,5,9,10,8,334.0160896617407
290,10,8,2,13,15,1,11,4,6,14,12,3,7,5,9,334.01608966174064
294,13,10,8,1,11,4,6,14,12,3,7,5,9,15,2,327.74895102977536
296,10,8,15,2,13,1,11,4,6,14,12,3,7,5,9,322.9188371876296
297,5,9,15,2,10,8,13,1,11,4,6,14,12,3,7,320.0369704939983
303,8,2,13,1,11,4,6,14,12,3,7,5,15,9,10,301.3581943139576
311,7,5,15,9,10,8,2,13,1,11,4,6,14,12,3,301.35819431395754
