Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4,11,1,10,8,2,13,9,7,3,14,15,12,5,6,518.7991448262504
1,6,13,9,5,3,14,12,7,10,15,1,2,4,11,8,491.68049198332363
4,8,13,9,5,3,14,12,7,10,15,1,2,6,4,11,462.2199534908856
5,11,13,9,5,3,14,12,7,10,15,1,2,8,6,4,437.39838160906044
9,2,13,1,9,14,12,10,6,4,11,8,3,5,7,15,432.83904637137886
10,13,1,15,9,14,12,10,6,4,11,8,3,5,7,2,428.10354963637263
11,11,13,9,5,7,14,12,3,10,15,1,2,8,6,4,411.2379019001143
13,14,12,3,10,15,1,2,8,6,4,11,13,9,5,7,411.23790190011425
18,15,2,8,6,4,11,1,13,9,5,7,14,12,3,10,366.7705104475327
20,3,10,15,2,8,6,4,11,1,13,9,5,7,14,12,366.7705104475326
22,2,8,6,4,11,1,13,9,5,7,10,14,12,3,15,359.74713963176447
26,10,14,12,3,15,2,8,6,4,11,1,13,9,5,7,359.7471396317644
28,12,10,15,2,8,6,4,11,1,13,9,5,7,3,14,345.91533922699216
32,3,8,6,4,11,1,13,15,2,9,5,7,10,14,12,345.7953155507763
35,8,6,4,11,1,13,15,2,9,5,7,10,14,12,3,345.79531555077625
40,10,14,12,3,8,6,4,11,1,13,15,2,9,5,7,345.7953155507762
45,10,14,12,3,6,4,11,1,13,2,9,15,5,7,8,340.8327313308778
48,5,7,3,10,14,12,8,6,4,11,1,13,15,2,9,335.4448895130519
66,3,10,14,12,8,6,4,11,1,13,15,2,9,5,7,335.44488951305186
85,11,1,2,13,15,9,5,7,3,10,14,12,8,6,4,319.15404804857684
88,15,9,5,7,3,10,14,12,8,6,4,11,1,2,13,319.1540480485768
97,7,3,12,10,14,8,6,4,11,1,2,13,15,9,5,319.02783063451756
122,9,5,7,3,12,10,14,8,6,4,11,1,13,2,15,310.4439355127109
125,5,7,3,12,10,14,8,6,4,11,1,13,2,15,9,310.4439355127108
171,4,11,1,13,2,15,9,5,7,3,12,10,8,14,6,308.04123063177866
178,5,7,3,12,10,8,14,6,4,11,1,13,2,15,9,308.0412306317786
384,5,7,3,12,14,8,10,6,4,11,1,13,2,15,9,299.95980839040055
564,5,7,3,12,14,10,8,6,4,11,1,13,2,15,9,284.380862862478
567,11,1,13,2,15,9,5,7,3,12,14,10,8,6,4,284.38086286247795
