Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5,11,4,9,15,13,1,2,3,10,14,8,6,12,7,505.53688366272354
4,3,7,10,6,4,11,1,9,8,12,14,15,5,2,13,473.32303373946223
6,10,6,4,11,1,9,8,12,14,15,2,13,5,3,7,455.51997326028265
8,4,11,1,9,15,5,2,13,8,12,14,3,7,10,6,390.31036720132437
16,11,1,9,15,5,2,13,8,12,14,3,7,10,6,4,390.3103672013243
17,4,11,1,15,5,9,2,13,8,12,14,3,7,10,6,375.5981673774853
27,12,14,6,4,11,1,15,3,7,5,9,2,13,8,10,365.85721279631474
31,7,5,9,2,13,8,10,12,14,6,4,11,1,15,3,365.8572127963147
32,4,11,1,2,13,15,5,9,8,12,14,3,7,10,6,358.93719302942696
34,15,7,5,9,2,13,8,10,3,12,14,6,4,11,1,353.064461136481
48,7,10,6,4,11,1,13,2,15,5,9,8,12,14,3,350.3532979076202
76,10,12,14,6,4,11,1,13,2,15,5,9,8,3,7,348.8377516280349
79,12,14,6,4,11,1,13,2,15,5,9,8,7,3,10,345.8162263413533
80,11,1,13,2,15,5,9,10,12,14,3,7,8,6,4,338.6862765441502
82,6,4,11,1,13,2,15,5,9,10,12,14,3,7,8,338.68627654415013
83,10,3,7,12,14,6,4,11,1,13,2,15,5,9,8,334.670021434273
85,9,8,10,3,7,12,14,6,4,11,1,13,2,15,5,334.67002143427294
88,13,2,15,5,7,9,8,10,3,12,14,6,4,11,1,320.7381954609568
95,7,9,8,10,3,12,14,6,4,11,1,13,2,15,5,320.7381954609567
118,5,9,8,10,7,3,12,14,6,4,11,1,13,2,15,320.0557705421485
155,15,5,9,8,10,7,3,12,14,6,4,11,1,13,2,320.0557705421484
160,15,5,9,7,3,12,14,8,10,6,4,11,1,13,2,312.37154693654696
181,6,4,11,1,13,2,9,15,5,7,3,12,14,8,10,304.9878794760383
188,11,1,13,2,9,15,5,7,3,12,14,8,10,6,4,304.98787947603824
190,12,14,10,8,6,4,11,1,13,2,9,15,5,7,3,289.4089339481157
197,13,2,9,15,5,7,3,12,14,10,8,6,4,11,1,289.40893394811565
1358,14,10,8,6,4,11,1,13,2,15,9,5,7,3,12,284.380862862478
1365,6,4,11,1,13,2,15,9,5,7,3,12,14,10,8,284.38086286247795
