Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,12,8,9,6,4,11,10,2,13,15,1,5,3,7,14,507.96679561844854
1,7,3,14,6,11,13,1,8,4,10,12,5,2,15,9,467.49599921081835
6,10,11,13,2,8,1,4,6,12,14,7,9,15,5,3,451.51756297320514
7,10,8,13,2,11,1,4,6,12,14,7,9,15,5,3,410.1648294142355
9,5,2,1,13,8,11,4,6,12,14,7,3,10,9,15,404.1872597026734
14,4,6,14,7,9,15,5,3,12,10,8,13,2,11,1,403.7369508362146
16,10,8,13,2,11,1,4,6,14,12,7,9,15,5,3,393.0641059813711
20,2,11,1,4,6,8,10,3,12,14,7,9,15,5,13,384.12902649045316
25,1,11,2,4,6,8,10,14,12,3,7,9,15,5,13,367.32922035016554
29,15,13,2,4,1,11,6,8,10,14,12,3,7,9,5,365.27188045447707
33,8,10,14,12,3,7,9,5,15,13,2,4,1,11,6,365.27188045447696
37,5,13,1,11,4,6,8,10,2,14,12,3,7,9,15,361.4328936883015
40,12,3,7,9,15,5,13,1,11,4,6,8,10,2,14,361.4328936883014
42,6,8,10,14,12,3,7,9,5,15,13,2,1,4,11,340.3918063164679
43,11,4,6,8,10,14,12,3,7,9,15,5,2,13,1,308.45031166673914
82,15,2,13,1,11,4,6,8,10,14,12,3,7,9,5,296.79260140862436
94,6,8,10,14,12,3,7,5,9,15,2,13,1,11,4,284.38086286247807
96,4,6,8,10,14,12,3,7,5,9,15,2,13,1,11,284.38086286247795
