Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,4,11,10,5,15,1,13,6,8,3,7,12,14,9,515.1195465818383
1,13,8,3,7,9,15,1,2,5,10,4,12,14,6,11,499.72282537852925
4,12,14,8,4,3,7,9,1,6,11,13,2,15,5,10,482.4139620298634
8,2,15,5,10,3,7,9,1,12,14,8,4,6,11,13,459.09442502665956
10,2,15,5,10,3,7,9,1,6,12,14,8,4,11,13,447.37937870469773
15,6,12,14,8,4,11,13,1,2,15,5,10,3,7,9,440.41784288131987
17,9,1,6,4,11,13,2,15,5,12,14,8,10,3,7,421.30997617244407
33,4,11,13,2,10,6,14,12,3,7,9,15,5,1,8,413.0033107380302
36,9,15,5,1,4,6,11,8,13,2,10,14,12,3,7,403.1891132101562
38,6,14,12,3,7,9,15,5,8,4,11,1,13,2,10,364.2989855279078
40,2,10,6,14,12,3,7,9,15,5,8,4,11,1,13,364.29898552790775
48,14,12,3,7,9,15,5,10,8,4,11,1,13,2,6,354.5347988740242
49,10,14,12,3,7,9,15,5,8,6,4,11,1,13,2,334.6203518391451
170,12,3,7,5,9,15,13,1,2,10,8,11,4,6,14,326.8204216893488
259,9,15,2,10,8,13,1,11,4,6,14,12,3,7,5,320.0369704939983
265,2,10,8,13,1,11,4,6,14,12,3,7,5,9,15,320.03697049399824
269,5,9,15,13,2,10,8,1,11,4,6,14,12,3,7,319.77916767621053
276,13,2,10,8,1,11,4,6,14,12,3,7,5,9,15,319.7791676762105
279,4,6,10,8,14,12,3,7,5,9,15,13,2,1,11,308.54370351220734
3254,5,9,15,10,8,2,13,1,11,4,6,14,12,3,7,306.7827924706171
