Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,12,10,13,2,1,4,6,11,8,9,15,5,7,14,3,415.43615589411286
1,3,14,12,10,13,2,1,4,6,11,8,9,15,5,7,382.39132513101475
19,3,12,10,13,2,1,11,4,6,8,9,15,5,7,14,372.75725606737586
29,7,3,14,12,10,13,2,1,11,6,4,8,9,15,5,359.23963692537006
36,6,8,9,15,5,7,14,3,12,10,2,13,1,11,4,356.20357759200425
46,13,2,1,11,4,6,8,9,15,5,7,3,14,12,10,339.7124253042778
54,10,13,2,1,11,4,6,8,9,15,5,7,3,14,12,339.71242530427776
60,13,1,11,4,6,14,12,8,9,15,5,7,3,10,2,338.8206920212019
62,13,1,11,4,6,14,8,9,15,5,7,3,12,10,2,338.6944746071427
68,11,4,6,14,8,9,15,5,7,3,12,10,2,13,1,338.69447460714264
70,6,14,8,9,15,5,7,3,12,10,2,13,1,11,4,338.6944746071426
86,6,10,8,9,15,5,7,3,12,14,2,13,1,11,4,335.9227922734566
90,4,6,8,9,15,5,7,3,12,14,10,2,13,1,11,315.0341068378419
