Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,12,8,9,6,4,11,10,2,13,15,1,5,3,7,14,507.96679561844854
1,7,3,14,6,11,13,1,8,4,10,12,5,2,15,9,467.49599921081835
10,13,1,2,15,7,10,3,5,9,12,14,11,4,6,8,435.2126953690881
15,2,13,1,15,7,10,3,5,9,12,14,11,4,6,8,432.25028158184995
16,14,11,4,6,8,10,2,13,1,15,7,3,5,9,12,418.1084595394725
19,14,11,4,6,8,10,3,5,9,13,1,2,15,7,12,406.8580556358991
25,9,15,1,11,4,6,8,12,14,10,3,13,2,7,5,397.9754708572837
26,5,9,15,13,1,11,4,6,8,12,14,10,3,2,7,377.8210051370775
37,3,7,10,5,9,15,13,1,2,11,4,6,8,12,14,376.1269189459203
40,4,6,8,7,10,12,14,3,5,9,15,2,13,1,11,350.66735869010904
48,11,4,6,8,10,12,14,3,5,7,9,15,2,13,1,317.83159279358256
64,13,1,11,4,6,8,10,12,14,3,5,7,9,15,2,317.8315927935825
81,5,9,15,2,13,1,11,4,6,8,10,12,14,3,7,292.50550285354217
147,7,5,9,15,2,13,1,11,4,6,8,10,14,12,3,284.38086286247795
