Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,13,15,5,7,14,3,1,6,4,12,10,9,8,11,2,514.1920969243666
1,6,8,11,3,7,10,1,13,9,2,15,5,12,14,4,490.5645952539448
2,15,5,7,14,3,9,1,6,4,11,12,8,10,2,13,477.38031220121974
3,14,6,3,7,10,4,8,11,1,13,9,2,15,5,12,460.6019988414913
4,7,14,3,9,2,13,1,6,4,11,12,8,10,15,5,455.45016327754564
6,5,12,3,7,10,4,14,6,8,11,1,13,9,2,15,450.9454756170532
9,1,13,9,2,15,5,12,14,6,3,7,10,8,4,11,417.1618240405058
12,12,14,3,8,10,15,5,7,9,2,13,1,6,4,11,412.91296620254326
14,14,3,8,10,15,5,7,9,2,13,1,11,6,4,12,386.8729213075185
27,14,8,10,3,15,5,7,9,2,13,1,11,6,4,12,386.16305870901374
29,10,15,5,7,3,9,2,13,1,11,6,4,12,14,8,384.0494106628059
31,6,12,14,3,8,10,15,5,7,9,2,13,1,11,4,360.9330892405194
37,12,14,3,8,10,15,5,7,9,2,13,1,11,4,6,360.93308924051934
40,8,10,12,14,3,15,5,7,9,2,13,1,11,6,4,357.78683190684956
43,7,9,2,13,1,11,6,4,8,10,12,14,3,15,5,357.7868319068495
44,8,10,15,5,7,9,2,13,1,11,4,6,3,12,14,355.83993458115344
46,14,3,12,8,10,15,5,7,9,2,13,1,11,4,6,351.91251964090424
48,10,12,14,3,15,5,7,9,2,13,1,11,4,6,8,338.2596202857573
58,15,5,7,9,2,13,1,11,4,6,8,10,14,12,3,330.13498029469315
65,6,8,10,14,12,3,15,5,7,9,2,13,1,11,4,330.1349802946931
69,15,9,2,13,1,11,4,6,8,10,14,12,3,5,7,321.81642009381505
75,11,4,6,8,10,14,12,3,7,15,5,9,2,13,1,308.9020686999211
76,12,3,7,9,15,5,2,13,1,11,4,6,8,10,14,308.45031166673914
84,15,5,2,13,1,11,4,6,8,10,14,12,3,7,9,308.4503116667391
102,9,5,15,2,13,1,11,4,6,8,10,14,12,3,7,296.79260140862436
113,9,2,13,1,11,4,6,8,10,14,12,3,7,5,15,289.40893394811565
118,3,7,5,9,15,2,13,1,11,4,6,8,10,14,12,284.380862862478
129,5,9,15,2,13,1,11,4,6,8,10,14,12,3,7,284.38086286247795
