Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,4,11,10,5,15,1,13,6,8,3,7,12,14,9,515.1195465818383
1,13,8,3,7,9,15,1,2,5,10,4,12,14,6,11,499.72282537852925
4,12,14,8,4,3,7,9,1,6,11,13,2,15,5,10,482.4139620298634
6,14,8,4,11,1,9,13,2,5,15,7,10,12,6,3,471.4723938692259
8,9,3,12,10,7,5,13,6,8,1,11,4,14,2,15,471.4276046406691
9,8,4,11,1,9,13,2,5,15,7,10,12,3,6,14,452.8548557486474
10,9,3,12,8,6,14,10,7,5,1,11,4,13,2,15,430.98820295533244
12,2,15,9,7,5,3,6,8,14,12,10,1,11,4,13,426.81978494799023
15,4,11,1,9,13,2,5,15,7,10,12,3,14,6,8,421.0758360735449
17,11,6,4,13,2,15,9,3,14,12,8,10,7,5,1,418.477293756416
18,11,1,8,9,13,2,5,15,7,10,12,3,14,6,4,405.65087613092624
28,8,10,1,13,2,15,9,7,5,3,12,14,11,6,4,391.9846425057499
31,14,11,6,4,8,10,1,13,2,15,9,7,5,3,12,391.98464250574983
33,6,4,1,13,2,15,9,7,5,3,12,14,8,10,11,374.5048473909871
37,6,8,1,13,2,15,9,7,5,3,12,14,10,4,11,368.4211143097104
38,4,11,1,13,2,15,9,7,5,3,12,14,10,6,8,341.7882913722132
46,11,1,13,2,15,9,7,5,3,12,14,10,6,8,4,341.78829137221317
49,11,1,13,2,15,9,7,5,3,12,14,10,8,6,4,309.7069528025183
85,6,4,11,1,13,2,15,9,5,7,3,12,14,10,8,284.38086286247795
