Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4,11,1,10,8,2,13,9,7,3,14,15,12,5,6,518.7991448262504
1,6,13,9,5,3,14,12,7,10,15,1,2,4,11,8,491.68049198332363
4,8,13,9,5,3,14,12,7,10,15,1,2,6,4,11,462.2199534908856
5,11,13,9,5,3,14,12,7,10,15,1,2,8,6,4,437.39838160906044
14,7,10,9,15,1,2,8,6,4,11,13,5,3,14,12,436.06276936827715
16,13,9,5,3,10,14,12,7,15,1,2,8,6,4,11,422.9219603217389
17,10,1,2,8,6,4,11,13,15,9,5,3,14,12,7,414.1082018256756
19,8,6,4,11,13,5,7,3,14,12,10,9,15,1,2,389.04711843879056
22,1,2,8,6,4,11,13,15,9,5,7,3,14,12,10,367.0925508961891
26,10,2,8,6,4,11,1,13,15,9,5,7,3,14,12,323.37456685342437
266,2,15,9,5,7,3,10,14,12,8,6,4,11,1,13,310.5701529267701
268,1,13,2,15,9,5,7,3,10,14,12,8,6,4,11,310.57015292677005
975,5,7,3,12,14,10,8,6,4,11,1,13,2,15,9,284.380862862478
999,7,3,12,14,10,8,6,4,11,1,13,2,15,9,5,284.38086286247795
