Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5,11,4,9,15,13,1,2,3,10,14,8,6,12,7,505.53688366272354
2,7,11,8,4,6,10,3,12,14,15,5,9,1,13,2,479.252663930471
6,2,11,8,4,6,10,3,7,12,14,15,5,9,1,13,438.40568091281995
8,2,11,8,4,6,10,3,12,14,7,15,5,9,1,13,417.7176553168986
15,1,13,2,7,3,12,14,4,11,8,6,10,15,5,9,414.4208589661603
16,1,13,2,7,3,12,14,4,11,8,6,10,9,5,15,400.9137001581388
27,12,14,11,1,13,2,8,4,6,10,15,5,9,7,3,375.77245156691174
36,13,2,8,4,6,10,15,5,9,7,3,12,14,11,1,375.7724515669117
42,6,10,3,9,15,5,7,12,14,8,2,13,1,11,4,353.54604363543865
48,6,14,3,9,15,5,7,12,10,8,2,13,1,11,4,347.75405276914154
61,15,5,7,12,10,8,2,13,1,11,4,6,14,3,9,347.7540527691414
65,15,5,7,3,10,8,2,13,1,11,4,6,14,12,9,326.51583647802335
139,12,3,9,15,5,7,10,8,2,13,1,11,4,6,14,320.9501423344593
188,8,2,13,1,11,4,6,14,12,3,7,15,5,9,10,320.851329065763
190,5,10,8,2,13,1,11,4,6,14,12,3,7,9,15,317.9727184928654
202,15,10,8,2,13,1,11,4,6,14,12,3,7,5,9,306.78279247061704
228,9,10,8,2,13,1,11,4,6,14,12,3,7,5,15,301.35819431395754
4536,6,8,10,14,12,3,7,5,15,9,2,13,1,11,4,289.4089339481157
4549,11,4,6,8,10,14,12,3,7,5,15,9,2,13,1,289.40893394811565
4551,4,6,8,10,14,12,3,7,5,15,9,2,13,1,11,289.4089339481156
4573,8,10,14,12,3,7,5,9,15,2,13,1,11,4,6,284.380862862478
4575,12,3,7,5,9,15,2,13,1,11,4,6,8,10,14,284.38086286247795
