Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6,2,9,5,7,15,11,13,14,4,1,3,12,10,8,555.6785652466135
1,1,11,7,12,14,3,10,6,13,9,5,15,8,2,4,518.0085586852225
3,12,9,15,5,7,10,3,8,13,1,2,14,6,4,11,469.28545159641465
9,8,6,4,11,1,10,12,3,14,13,9,5,15,2,7,453.1797807201988
11,1,13,10,3,7,8,14,12,6,4,11,5,15,9,2,436.992702901624
12,10,7,14,4,11,1,13,2,9,15,5,6,8,12,3,436.31747385439286
14,11,6,4,1,2,13,7,9,5,15,10,12,3,14,8,424.6538680102197
17,12,3,14,4,11,1,13,2,9,15,5,6,8,10,7,411.64499847781474
24,3,14,4,11,1,13,2,9,15,5,6,8,10,12,7,403.88726346168465
25,8,12,10,4,11,1,13,2,9,15,5,7,3,14,6,361.1617634343185
36,15,5,7,3,10,12,14,4,6,8,11,1,13,2,9,339.7570339208231
39,12,6,4,11,1,13,2,9,15,5,7,3,10,8,14,319.4971802954372
53,15,5,7,3,10,8,14,12,6,4,11,1,13,2,9,319.49718029543715
60,14,6,4,11,1,13,2,9,15,5,7,3,10,8,12,313.19551913147563
61,14,6,4,11,1,13,2,9,15,5,7,3,12,10,8,313.0693017174164
67,7,3,10,8,12,14,6,4,11,1,13,2,15,9,5,308.1674480458379
77,9,5,7,3,10,8,12,14,6,4,11,1,13,2,15,308.16744804583783
380,11,1,13,2,15,9,5,7,3,12,14,10,8,6,4,284.38086286247795
